repeat,page,arm,attempt,accepted,observed_bytes,failed_requests,browser_policy_blocked_requests,validation_errors
2,1,lean,1,True,115926,0,1,
2,2,lean,1,True,115980,0,1,
2,2,full,1,True,377649,0,1,
2,3,full,1,True,372474,0,1,
2,3,lean,1,True,116210,0,1,
2,4,lean,1,True,116340,0,1,
2,4,full,1,True,370379,0,1,
2,5,full,1,True,380585,0,1,
2,5,lean,1,True,116130,0,1,
2,6,lean,1,True,116198,0,1,
2,6,full,1,True,385305,0,1,
2,7,full,1,True,376586,0,1,
2,7,lean,1,True,116080,0,1,
2,8,lean,1,True,116009,0,1,
2,8,full,1,True,379332,0,1,
2,9,full,1,True,373081,0,1,
2,9,lean,1,True,116016,0,1,
2,10,lean,1,True,116112,0,1,
2,10,full,1,True,369303,0,1,
2,11,full,1,True,352843,0,1,
2,11,lean,1,True,116031,0,1,
2,12,lean,1,True,115869,0,1,
2,12,full,1,True,390834,0,1,
2,13,full,1,True,392582,0,1,
2,13,lean,1,True,116034,0,1,
2,14,lean,1,True,116049,0,1,
2,14,full,1,True,376836,0,1,
2,15,full,1,True,378623,0,1,
2,15,lean,1,True,116110,0,1,
2,16,lean,1,True,115986,0,1,
2,16,full,1,True,356089,0,1,
2,17,full,1,True,370894,0,1,
2,17,lean,1,True,115754,0,1,
2,18,lean,1,True,116050,0,1,
2,18,full,1,True,369450,0,1,
2,19,full,1,True,374714,0,1,
2,19,lean,1,True,116081,0,1,
2,20,lean,1,True,116174,0,1,
2,20,full,1,True,366621,0,1,
2,21,full,1,True,344006,0,1,
2,21,lean,1,True,115894,0,1,
2,22,lean,1,True,115999,0,1,
2,22,full,1,True,369580,0,1,
2,23,full,1,True,357679,0,1,
2,23,lean,1,True,116220,0,1,
2,24,lean,1,True,115956,0,1,
2,24,full,1,True,363663,0,1,
2,25,full,1,True,362512,0,1,
2,25,lean,1,True,116435,0,1,
2,26,lean,1,True,115898,0,1,
2,26,full,1,True,363458,0,1,
2,27,full,1,True,374822,0,1,
2,27,lean,1,True,116005,0,1,
2,28,lean,1,True,116111,0,1,
2,28,full,1,True,352732,0,1,
2,29,full,1,True,372292,0,1,
2,29,lean,1,True,115848,0,1,
2,30,lean,1,True,115837,0,1,
2,30,full,1,True,377380,0,1,
2,31,full,1,True,363917,0,1,
2,31,lean,1,True,115914,0,1,
2,32,lean,1,True,115946,0,1,
2,32,full,1,True,361452,0,1,
2,33,full,1,True,375597,0,1,
2,33,lean,1,True,116004,0,1,
2,34,lean,1,True,115818,0,1,
2,34,full,1,True,370650,0,1,
2,35,full,1,True,360143,0,1,
2,35,lean,1,True,115979,0,1,
2,36,lean,1,True,115939,0,1,
2,36,full,1,True,367773,0,1,
2,37,full,1,True,364353,0,1,
2,37,lean,1,True,115887,0,1,
2,38,lean,1,True,116063,0,1,
2,38,full,1,True,367168,0,1,
2,39,full,1,True,361951,0,1,
2,39,lean,1,True,115967,0,1,
2,40,lean,1,True,115913,0,1,
2,40,full,1,True,357157,0,1,
2,41,full,1,True,350850,0,1,
2,41,lean,1,True,115944,0,1,
2,42,lean,1,True,116041,0,1,
2,42,full,1,True,371096,0,1,
2,43,full,1,True,355756,0,1,
2,43,lean,1,True,115828,0,1,
2,44,lean,1,True,115800,0,1,
2,44,full,1,True,346096,0,1,
2,45,full,1,True,353400,0,1,
2,45,lean,1,True,115873,0,1,
2,46,lean,1,True,115827,0,1,
2,46,full,1,True,358845,0,1,
2,47,full,1,True,375788,0,1,
2,47,lean,1,True,115700,0,1,
2,48,lean,1,True,115649,0,1,
2,48,full,1,True,377760,0,1,
2,49,full,1,True,363769,0,1,
2,49,lean,1,True,115818,0,1,
2,50,lean,1,True,115834,0,1,
2,50,full,1,True,372991,0,1,
3,1,full,1,True,351255,0,1,
3,1,lean,1,True,116019,0,1,
3,2,lean,1,True,115975,0,1,
3,2,full,1,True,377636,0,1,
3,3,full,1,True,372356,0,1,
3,3,lean,1,True,116141,0,1,
3,4,lean,1,True,116350,0,1,
3,4,full,1,True,370382,0,1,
3,5,full,1,True,380532,0,1,
3,5,lean,1,True,116190,0,1,
3,6,lean,1,True,116198,0,1,
3,6,full,1,True,385337,0,1,
3,7,full,1,True,376554,0,1,
3,7,lean,1,True,116074,0,1,
3,8,lean,1,True,116001,0,1,
3,8,full,1,True,379259,0,1,
3,9,full,1,True,373083,0,1,
3,9,lean,1,True,115995,0,1,
3,10,lean,1,True,116056,0,1,
3,10,full,1,True,369357,0,1,
3,11,full,1,True,352877,0,1,
3,11,lean,1,True,115958,0,1,
3,12,lean,1,True,115909,0,1,
3,12,full,1,True,390863,0,1,
3,13,full,1,True,392550,0,1,
3,13,lean,1,True,116003,0,1,
3,14,lean,1,True,116056,0,1,
3,14,full,1,True,376869,0,1,
3,15,full,1,True,378668,0,1,
3,15,lean,1,True,116074,0,1,
3,16,lean,1,True,116013,0,1,
3,16,full,1,True,355996,0,1,
3,17,full,1,True,370955,0,1,
3,17,lean,1,True,115746,0,1,
3,18,lean,1,True,116093,0,1,
3,18,full,1,True,369438,0,1,
3,19,full,1,True,374719,0,1,
3,19,lean,1,True,116121,0,1,
3,20,lean,1,True,116126,0,1,
3,20,full,1,True,366595,0,1,
3,21,full,1,True,343966,0,1,
3,21,lean,1,True,115956,0,1,
3,22,lean,1,True,115917,0,1,
3,22,full,1,True,369590,0,1,
3,23,full,1,True,357743,0,1,
3,23,lean,1,True,116249,0,1,
3,24,lean,1,True,115962,0,1,
3,24,full,1,True,363663,0,1,
3,25,full,1,True,362571,0,1,
3,25,lean,1,True,116427,0,1,
3,26,lean,1,True,115912,0,1,
3,26,full,1,True,363437,0,1,
3,27,full,1,True,374821,0,1,
3,27,lean,1,True,116058,0,1,
3,28,lean,1,True,116089,0,1,
3,28,full,1,True,352745,0,1,
3,29,full,1,True,372250,0,1,
3,29,lean,1,True,115908,0,1,
3,30,lean,1,True,115837,0,1,
3,30,full,1,True,377374,0,1,
3,31,full,1,True,363896,0,1,
3,31,lean,1,True,115856,0,1,
3,32,lean,1,True,115944,0,1,
3,32,full,1,True,361427,0,1,
3,33,full,1,True,375631,0,1,
3,33,lean,1,True,116044,0,1,
3,34,lean,1,True,115809,0,1,
3,34,full,1,True,370564,0,1,
3,35,full,1,True,360137,0,1,
3,35,lean,1,True,115927,0,1,
3,36,lean,1,True,115919,0,1,
3,36,full,1,True,367755,0,1,
3,37,full,1,True,364315,0,1,
3,37,lean,1,False,0,1,0,navigation_or_extraction_error;unexpected_request_failure
3,37,lean,2,True,115891,0,1,
3,38,lean,1,True,116024,0,1,
3,38,full,1,True,367102,0,1,
3,39,full,1,True,361864,0,1,
3,39,lean,1,True,115957,0,1,
3,40,lean,1,True,115912,0,1,
3,40,full,1,True,357122,0,1,
3,41,full,1,True,350774,0,1,
3,41,lean,1,True,115875,0,1,
3,42,lean,1,True,116049,0,1,
3,42,full,1,True,371075,0,1,
3,43,full,1,True,355714,0,1,
3,43,lean,1,True,115802,0,1,
3,44,lean,1,True,115758,0,1,
3,44,full,1,True,346128,0,1,
3,45,full,1,True,353436,0,1,
3,45,lean,1,True,115884,0,1,
3,46,lean,1,True,115811,0,1,
3,46,full,1,True,358856,0,1,
3,47,full,1,True,375845,0,1,
3,47,lean,1,True,115630,0,1,
3,48,lean,1,True,115670,0,1,
3,48,full,1,True,377769,0,1,
3,49,full,1,True,363811,0,1,
3,49,lean,1,True,115700,0,1,
3,50,lean,1,True,115859,0,1,
3,50,full,1,True,373043,0,1,
